,link,category,name,is_save
94,https://vkusvill.ru/goods/karbonad-s-zapechennym-kartofelem-i-gorchichnym-sousom-104638.html,Готовая еда,карбонад с запеченным картофелем и горчичным соусом,1
95,https://vkusvill.ru/goods/kartof-pyure-kapusta-po-bavarski-s-kolbaskami-po-nyurnbergski-i-gorch-sousom-41132.html,Готовая еда,картоф пюре капуста по-баварски с колбасками по-нюрнбергски и горч соусом,1
96,https://vkusvill.ru/goods/kartofel-zharenyy-so-svininoy-i-gribami-v-smetannom-souse-68461.html,Готовая еда,картофель жареный со свининой и грибами в сметанном соусе,1
97,https://vkusvill.ru/goods/kartofel-zapechennyy-s-vetchinoy-kurinoy-pod-syrom-71621.html,Готовая еда,картофель запеченный с ветчиной куриной под сыром,1
98,https://vkusvill.ru/goods/kartofel-zapechennyy-s-provanskimi-travami-70125.html,Готовая еда,картофель запеченный с прованскими травами,1
99,https://vkusvill.ru/goods/kartofel-zapechyennyy-pod-syrom-s-sosiskami-v-gorchichnom-souse-105250.html,Готовая еда,картофель запечённый под сыром с сосисками в горчичном соусе,1
100,https://vkusvill.ru/goods/kartofel-mini-s-chesnokom-zelenyu-zapechennyy-100604.html,Готовая еда,картофель мини с чесноком зеленью запеченный,1
101,https://vkusvill.ru/goods/kivi-16556.html,"Овощи, фрукты, ягоды, зелень",киви,1
102,https://vkusvill.ru/goods/kartofelnoe-pyure-500-g-68797.html,Готовая еда,картофельное пюре,1
103,https://vkusvill.ru/goods/kasha-grechnevaya-po-dragomirovski-na-bulone-iz-gribov-100149.html,Готовая еда,каша гречневая по-драгомировски на бульоне из грибов,1
104,https://vkusvill.ru/goods/kasha-pshennaya-slivochnaya-250-g-68616.html,Готовая еда,каша пшенная сливочная,1
105,https://vkusvill.ru/goods/kasha-ovsyanaya-molochnaya-s-yablokom-i-koritsey-215-g-68084.html,Готовая еда,каша овсяная молочная с яблоком и корицей,1
106,https://vkusvill.ru/goods/kasha-ovsyanaya-na-moloke-76421.html,Готовая еда,каша овсяная на молоке,1
107,https://vkusvill.ru/goods/kasha-ovsyanaya-na-mindalnoy-osnove-97380.html,Готовая еда,каша овсяная на миндальной основе,1
108,https://vkusvill.ru/goods/kasha-ovsyanaya-na-rast-nap-s-top-dynya-abrikos-98151.html,Готовая еда,каша овсяная на раст нап с топ дыня-абрикос,1
109,https://vkusvill.ru/goods/kasha-ovsyanaya-na-rastitelnom-bananovom-napitke-98153.html,Готовая еда,каша овсяная на растительном банановом напитке,1
110,https://vkusvill.ru/goods/kasha-ovsyanaya-s-semenami-chia-na-mindalno-risovom-napitke-s-vishnevym-kompote-102021.html,Готовая еда,каша овсяная с семенами чиа на миндально-рисовом напитке с вишневым компоте,1
111,https://vkusvill.ru/goods/kasha-pshennaya-molochnaya-s-tykvoy-250-g-68804.html,Готовая еда,каша пшенная молочная с тыквой,1
112,https://vkusvill.ru/goods/kasha-pshenno-risovaya-na-moloke-270-g-78288.html,Готовая еда,каша пшенно-рисовая на молоке,1
113,https://vkusvill.ru/goods/kasha-pshyennaya-s-mango-persikom-i-estragonom-105214.html,Готовая еда,каша пшённая с манго персиком и эстрагоном,1
114,https://vkusvill.ru/goods/kasha-pshyennaya-s-syrom-parmezan-i-sousom-pesto-kafe-99936.html,Готовая еда,каша пшённая с сыром пармезан и соусом песто кафе,1
115,https://vkusvill.ru/goods/kasha-risovaya-bezmolochnaya-na-kokose-250-g-71220.html,Готовая еда,каша рисовая безмолочная на кокосе,1
